,questions,answers,title
0,Where can I retrieve my DataCamp Premium Plan Access Code?,"
A. For learners who signed up for LearnAI Premium Membership from 20 May 2021 onwards
Your DataCamp Premium Plan Access Code can be found in your account settings, under the Orders section:
You will see at least 2 orders in your account. 
Click “View” on the order with the paid subscription amount:

You should see your DataCamp Premium Plan Access Code as shown below: 

Please create a free DataCamp account here if you do not have an existing DataCamp account. 
 
B. For learners who signed up for AI for Industry (AI4I) Programme ( before 20 May 2021 )
If you are an existing AI4I subscriber, during the migration to the new LearnAI  on 20 May 2021, you are converted to a LearnAI Premium member.  Your DataCamp Premium Plan Access Code assigned to you before 20 May 2021 ( with the purchase of AI4I programme) can be found under “Legacy DC Code” in your account.

 


 ",LearnAI: Datacamp
1,How do I redeem the DataCamp Premium Access?,"


How do I redeem the DataCamp Premium Access?




A. For learners who signed up from 20 May 2021 onwardsStep 1: Copy and paste the link found in the section “Your DataCamp Code(s)” into your browser. Refer to Where can I retrieve my DataCamp Premium Plan Access Code? to locate your Access Code.
Step 2: If you are not signed in to DataCamp, sign in first using your email address and password.
 

Step 3: The access code will be pre-populated in the Promo Code field.  If the access code is not filled in, copy the 14-character alphanumeric code after the = from the URL.
Eg: 

 
 Step 4: Click on Redeem Code to redeem your 12-month subscription.

 
B. For learners who signed up before 20 May 2021
Step 1: Click on the link found in your account under “Legacy DC Code”. The legacy code can be found in your account settings. Refer to Where can I retrieve my DataCamp Premium Plan Access Code? to locate your Access Code.
Step 2: If you are not signed in to DataCamp, sign in first using your email address and password.
 

 
Step 3: The access code will be pre-populated in the Promo Code field.  If the access code is not filled in, copy your legacy code into the field.
 
Step 4: Click on Redeem Code to redeem your 12-month DataCamp Premium Plan subscription.



This post was modified 3 months ago by  

 ",LearnAI: Datacamp
2,"I checked that my subscription has expired on DataCamp, but when I try to redeem the DataCamp Premium Plan Access Code, DataCamp says I still have an active subscription.","


A 2-week grace period is given after the expiry date of your DataCamp account. You would still have access to DataCamp premium content during these 2 weeks. You can only redeem the DataCamp Premium Plan Access Code after the grace period.




 ",LearnAI: Datacamp
3,I have forgotten the password of my DataCamp account. Can I reset it?,"
Step 1: Log in to DataCamp
Step 2: Click Next
Step 3: Enter your email address
Step 4: Click on Forgot Password?
Step 5: Reconfirm your email address and click Reset Password
Step 6: You will receive an email with the next steps to reset your password


 ",LearnAI: Datacamp
4,"I have two 12-month DataCamp Premium Plan Access Codes, how do I redeem them both?","


You have to redeem the first access code for the first 12-month DataCamp Premium Plan.  After the first 12-month DataCamp Premium Plan has expired, you can redeem the second code. Please note the Datacamp access code is valid for redemption until 31 Oct 2024.




 ",LearnAI: Datacamp
5,When does my DataCamp Premium Plan subscription expire?,"


Your subscription will expire 12 months upon successful redemption. You can find the exact date in the Subscription section of your Account Settings in DataCamp.


 


 ",LearnAI: Datacamp
6,Do I have to redeem my DataCamp Premium Plan Access Code immediately?,"


The DataCamp access code is valid for redemption until 31 Oct 2024. You may redeem it any time before the end date.




 ",LearnAI: Datacamp
7,"I already have a free DataCamp account, will I keep my account progress when I use the 12-month DataCamp Premium Plan Access Code?","
Yes! Your free DataCamp account will be converted to a 12-month DataCamp Premium account. If you are already signed in, you can follow the instructions in How do I redeem the DataCamp Premium Access? .If you are not signed in, click on the activation link and enter the email address used for your free account as indicated below.



 ",LearnAI: Datacamp
8,"I have an existing DataCamp Premium Plan subscription, how do I redeem my 12-month DataCamp Premium Plan Access Code?","
Please note that you will not be able to redeem the 12-month DataCamp Premium Plan with the Access Code we have provided while you have an existing paid plan. You can only redeem the 12-month DataCamp Premium Plan access AFTER your current paid plan expired.
If you attempt to redeem your DataCamp Premium Plan Access Code before your current DataCamp Premium Plan expires, you will receive the following error message:



 ",LearnAI: Datacamp
0,Terms and Conditions,"





 ",LearnAI: International Maths Day
1,How to use the voucher code?,"
Step 1Sign up for a LearnAI account. Refer to the FAQ ""Signing Up and Logging into LearnAI Account"" 
Note: To access AI4I® – Foundations in AI course, you will need to complete AI4I® – Literacy in AI
Step 2                                                                                                                                                                 Please ensure you are signed in to your LearnAI account to proceed to purchase the AI4I® – Foundations in AI course after completing AI4I® – Literacy in AI. Please select according to your nationality as shown below.



Step 3                                                                                                                                                                       At the checkout page, please use the voucher code INTMD-Z5ZN to offset 25% off AI4I® – Foundations in AI course fee. (Note: Please input the correct discount code in your cart summary)



Step 4                                                                                                                                                                      Once completed, an ‘Enroll Now’ button will appear for AI4I® – Foundations in AI for learners to start your learning. 



  

 ",LearnAI: International Maths Day
2,The voucher code validity,"
The voucher code, INTMD-Z5ZN, is valid from 14 March to 21 March 2023, 2359 hours.
  

 ",LearnAI: International Maths Day
